question,design,value
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,on a cap
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,around the neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,on a shirt
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,as a necklace
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,as an armband
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"if small enough, as a ring?"
Do you have any other comments on this survey?,general,none
In what situations or activities do you think wearing the light logger might be difficult,wrist,For example the practice of some type of sport. Or in a formal setting
In what situations or activities do you think wearing the light logger might be difficult,collarpin,At work and when doing some sporty activity
In what situations or activities do you think wearing the light logger might be difficult,glasses,If you don't wear glasses mainly
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"At home, work, social settings.  Since I work in a rather casual setting, I wouldn't use this at work at all and since me personally don't use caps or beanies it wouldn't make sense to use it just because and i live on a country with some cool weather so it might not be extremely cold to use it"
In what situations or activities do you think wearing the light logger might be difficult,neckloop,"In extreme activities like working out, it might suit for running, but for example crossfit I dont feel like it would suit it  And depeding on the work style"
In what situations or activities do you think wearing the light logger might be difficult,chestpin,"In a social setting it might be weird if the person that I am with thinks that I'm recording her, and it also depends on the size of it and the thickness of the device"
In what situations or activities do you think wearing the light logger might be difficult,necklace,Exercise cause it will be all over the place always moving and work
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,"If it can work inside a long sleeve or something it will be the best , if not it might be difficult for work and on cold situations"
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,"The placemente is good, the logger is just really big"
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,"It's a difficult place cause everyone can see it, and it may not be the best place when you go to work on a casual or semi-casual style"
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,"It's not a good placement, but it will be evident to everyone and it might cause some problems on cafes or the street"
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,I think everyone will notice and it might get alot of unwanted attention
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,"Its a good place, depending on the color it can be used in alot of places"
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,"It's a good place, it might have some variables like size and all"
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,"Its an interesting place, depends on size"
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,good placement specifically for sporty activities
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,Maybe a watch or something that could be attached to a watch.  Ring  Something unnoticeable for the shoe
Do you have any other comments on this survey?,general,No
In what situations or activities do you think wearing the light logger might be difficult,wrist,"at the pool, at tennis court"
In what situations or activities do you think wearing the light logger might be difficult,collarpin,at the pool
In what situations or activities do you think wearing the light logger might be difficult,glasses,many sports activities where wearing glasses is forbidden
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"during sports activities, during summer"
In what situations or activities do you think wearing the light logger might be difficult,neckloop,during sport activities
In what situations or activities do you think wearing the light logger might be difficult,chestpin,at the pool
In what situations or activities do you think wearing the light logger might be difficult,necklace,"at the pool, during sports activities"
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,"at the pool, during volleyball game"
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,neck
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,eyes
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,head
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,neck
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,on leg
Do you have any other comments on this survey?,general,no
In what situations or activities do you think wearing the light logger might be difficult,wrist,"Swimming sessions, going to a formal wear event."
In what situations or activities do you think wearing the light logger might be difficult,collarpin,Professional settings
In what situations or activities do you think wearing the light logger might be difficult,glasses,"aerobics classes , While jogging."
In what situations or activities do you think wearing the light logger might be difficult,hatpin,Meetings and formal events
In what situations or activities do you think wearing the light logger might be difficult,neckloop,"During exercise, meetings and any formal event that requires formal wear."
In what situations or activities do you think wearing the light logger might be difficult,chestpin,Work presentations
In what situations or activities do you think wearing the light logger might be difficult,necklace,During any form of exercise
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,In formal wear activities
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,Like a wrist watch
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,Clipper on the neck collar
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,Sticks to your spectacles or shades
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,You clip the pin to your hat or beanie
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,wrapped around your neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,pin on the upper body
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,a necklace wrapped around your neck
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,A band around the arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,An Anklet that you wear around your ankle . As a belt Clipper that you pin on your belt. As a ring for your any of your fingers.
Do you have any other comments on this survey?,general,No Comment
In what situations or activities do you think wearing the light logger might be difficult,wrist,"When showering/ washing dishes (unless the technology is waterproof), potentially while relaxing/ asleep dependant on comfort levels."
In what situations or activities do you think wearing the light logger might be difficult,collarpin,"N/A - There would be no activities or situations where this would be difficult, that I can think of."
In what situations or activities do you think wearing the light logger might be difficult,glasses,"I already wear glasses, so would find it difficult to replace with non-prescription eye-wear. I would also not be able to wear glasses while exercising or during rigorous movement of any type."
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"I work in a professional office environment, where wearing hats or headpieces are frowned upon. I would also be very unlikely to wear them in social settings, and would remove for any exercise or rigorous activity."
In what situations or activities do you think wearing the light logger might be difficult,neckloop,"It would be difficult when I am attempting to dress/ look formal, or when exercising."
In what situations or activities do you think wearing the light logger might be difficult,chestpin,"Depending on the way it attached to clothing (I would be hesitant to pin it to my clothing and pierce holes in my clothes), it may be difficult to wear in professional or formal settings. If it was a clip on and did nt harm the material, this would not be an issue."
In what situations or activities do you think wearing the light logger might be difficult,necklace,"Potentially it would limit the wearing of other jewellery, for those who wear necklaces as everyday wear (although they could potentially still wear both, it would only impact a fashion standpoint)."
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,"When moving around throughout the day it may slip down, depending on material etc."
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,"The light logger is placed on the wrist, and worn similar to a wrist watch."
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,"The light logger is clipped to the collar of a shirt, or other piece of clothing, about at lower neck level."
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,The light logger is in the form of eye-wear (glasses) and worn over the eyes.
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,"The light logger is clipped onto an item of head-wear, such as a hat or beanie."
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,"The light logger is draped around the shoulders, similar to the placement of a necklace, but more so on the shoulders than neck."
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,"The light logger is clipped onto the shirt, around breast bone height (or around the location of your heart)."
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,The light logger is worn around the neck in the form of a necklace (on a chain or string)
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,"The light logger is a band around the arm, around bicep level"
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"Similar to the shirt clip, although on that clips onto the waistband of pants/ shorts, so that it can clip on rather than pinning onto a t-shirt and potentially stretching or damaging the material."
Do you have any other comments on this survey?,general,"No, no other comments."
In what situations or activities do you think wearing the light logger might be difficult,wrist,"Maybe in some lines of work, depends on how expensive it is I guess. Other than that I don't know"
In what situations or activities do you think wearing the light logger might be difficult,collarpin,None
In what situations or activities do you think wearing the light logger might be difficult,glasses,"Not difficult to wear but why wear glasses if you dont need to, just seems unnecessary"
In what situations or activities do you think wearing the light logger might be difficult,hatpin,None
In what situations or activities do you think wearing the light logger might be difficult,neckloop,Looks like it could slip off and that'd be annoying
In what situations or activities do you think wearing the light logger might be difficult,chestpin,None
In what situations or activities do you think wearing the light logger might be difficult,necklace,None
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,None
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,"Attached to the wrist, just like a watch"
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,Attached at the collar of the shirt
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,Glasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,On the hat
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,Around the neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,On the chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,Around the neck like a necklace
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,Around the upper arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,Maybe something like a ring for your finger. I can't come up with anything else than that.
Do you have any other comments on this survey?,general,No
In what situations or activities do you think wearing the light logger might be difficult,wrist,"I think it would be difficult wearing the light logger at night when you're sleeping, because I don't like the light being switched on when I'm sleeping."
In what situations or activities do you think wearing the light logger might be difficult,collarpin,"I think it will be difficult to wear it at night when I'm sleeping, because I don't like the light to be switched on when I'm sleeping."
In what situations or activities do you think wearing the light logger might be difficult,glasses,It would be difficult in day time because there's already light and it is very close to my eyes.
In what situations or activities do you think wearing the light logger might be difficult,hatpin,It would be difficult wearing it in day time because it close to the eyes.
In what situations or activities do you think wearing the light logger might be difficult,neckloop,"It would be difficult to wear it in day time, because the colour is relevant to the light."
In what situations or activities do you think wearing the light logger might be difficult,chestpin,"It would be difficult wearing it in day time, because the colour is relevant to the light."
In what situations or activities do you think wearing the light logger might be difficult,necklace,"It would be difficult wearing it in day time, because of the colour is relevant to the light."
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,"It would be difficult wearing it in day time, because the colour is relevant to the light."
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,It will enhance my visibility.
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,It will enhance my visibility.
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,It would be useful in dark mode.
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,It would be useful in dark mode.
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,It would be good to use at night for visibility.
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,It would be useful for visibility at night.
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,It would be useful at night for visibility.
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,It would be useful for night time.
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,It is a good innovation especially for human visibility in public places when it's dark.
Do you have any other comments on this survey?,general,No comments.
In what situations or activities do you think wearing the light logger might be difficult,wrist,When you are sleeping
In what situations or activities do you think wearing the light logger might be difficult,collarpin,I can think of setting were this light logger would disturb me in any way
In what situations or activities do you think wearing the light logger might be difficult,glasses,When I'm sleeping
In what situations or activities do you think wearing the light logger might be difficult,hatpin,When it's hot outside
In what situations or activities do you think wearing the light logger might be difficult,neckloop,When sleeping or running by foot in high speed
In what situations or activities do you think wearing the light logger might be difficult,chestpin,I would were it in any setting
In what situations or activities do you think wearing the light logger might be difficult,necklace,When I'm sleeping
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,I can where it anywhere anytime
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,You wear it the same way you would wear a  hand watch
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,Clip it in your shirt on the neck part
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,Like wearing glasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,Like wearing a hat
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,Wear it like a scarf or necklace
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,You can wear it over your t-shirt
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,Wear it like a necklace
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,You wear it like a armband
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,A waist belt could also be a good idea
Do you have any other comments on this survey?,general,No
In what situations or activities do you think wearing the light logger might be difficult,wrist,"When exercising, when cleaning the house or doing the dishes, when sleeping or laying in bed."
In what situations or activities do you think wearing the light logger might be difficult,collarpin,I just think it might fall off during intense exercising but otherwise it shouldn't be difficult to wear.
In what situations or activities do you think wearing the light logger might be difficult,glasses,"I don't think it'd be difficult, I just think it looks silly."
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"As you have to wear a hat in order to put the device on it, it would be difficult to wear it whenever it is too warm to wear a hat or when you're inside and not outside. It is also not convenient when exercising because you're sweating and don't want to wear a hat."
In what situations or activities do you think wearing the light logger might be difficult,neckloop,It would be difficult when exercising.
In what situations or activities do you think wearing the light logger might be difficult,chestpin,None.
In what situations or activities do you think wearing the light logger might be difficult,necklace,When exercising.
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,None
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,It should be worn on the wrist just like a watch.
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,"It is fixed on the shirt's neckline, just like a tiny mircophone."
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,It is placed on the side of glasses.
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,It is placed on the side of a hat.
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,"It is placed around the neck, like an open necklace."
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,"It is fixed on your shirt, right where your heart is."
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,It is placed around the neck like a necklace.
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,"It is placed around your upper arm, like an upper armband."
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"Perhaps something to fix on shoes so that is it not too visible, with a possibility to fix it on socks when you're home without shoes on."
Do you have any other comments on this survey?,general,It would have been good to know in advance how many designs I have to analyse.
In what situations or activities do you think wearing the light logger might be difficult,wrist,"Exercising in the gym, especially weight lifting exercises."
In what situations or activities do you think wearing the light logger might be difficult,collarpin,While I am running or jogging.
In what situations or activities do you think wearing the light logger might be difficult,glasses,"While I am at work, doing presentation or meeting, it attracts too much unwanted attention."
In what situations or activities do you think wearing the light logger might be difficult,hatpin,Regular daily activities like grocery shopping or any outdoor execises.
In what situations or activities do you think wearing the light logger might be difficult,neckloop,While I am eating or in somekind of a restaurant.
In what situations or activities do you think wearing the light logger might be difficult,chestpin,"I don't see any difficult, if it is like a logo on a shirt."
In what situations or activities do you think wearing the light logger might be difficult,necklace,It will be difficult to wear while running or jogging.
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,It don't see too my difficulty wearing at work or doing execise.
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,"It will be placed on my wrist, just like an apple watch."
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,It will be placed at my shirt collar.
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,It places at the arm of my glasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,It places at the rim of my hat.
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,It places around my neck.
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,It places as a logo on a shirt near my chest.
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,It places around my neck like a necklace.
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,It places around my upper arm.
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,It may be placed on a tie as a logo or as as a belt bucket.
Do you have any other comments on this survey?,general,No
In what situations or activities do you think wearing the light logger might be difficult,wrist,light logger might be difficult wearing when sleeping. would not be able to sleep on my hand properly
In what situations or activities do you think wearing the light logger might be difficult,collarpin,light logger might be difficult wearing in a social set up
In what situations or activities do you think wearing the light logger might be difficult,glasses,It might also be difficult wearing them in social set ups
In what situations or activities do you think wearing the light logger might be difficult,hatpin,It would be difficult at work
In what situations or activities do you think wearing the light logger might be difficult,neckloop,At work
In what situations or activities do you think wearing the light logger might be difficult,chestpin,"Its hardly visible, so it wont be difficult wearing it"
In what situations or activities do you think wearing the light logger might be difficult,necklace,Probably when bathing
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,None
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,It is right the by your wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,it is the colar of the shirt right by the neck
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,they are on your eyes
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,On a beanie just above your ear
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,It is on your shoulder blades
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,left side of the t shirt pocket square
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,On the neck like a necklace
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,On the bicep
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,Make the Design more tiny. or more modern time wear
Do you have any other comments on this survey?,general,This was very fun to do
In what situations or activities do you think wearing the light logger might be difficult,wrist,When I have to wear more fancy clothes for an important outing
In what situations or activities do you think wearing the light logger might be difficult,collarpin,Every situation besides working out
In what situations or activities do you think wearing the light logger might be difficult,glasses,I would not wear this in any situation
In what situations or activities do you think wearing the light logger might be difficult,hatpin,I just don't like the placement
In what situations or activities do you think wearing the light logger might be difficult,neckloop,"Im thinking it might be difficult to wear during exercising because it might fall, it's also not very flattering to wear outside"
In what situations or activities do you think wearing the light logger might be difficult,chestpin,I can't really think of a situation
In what situations or activities do you think wearing the light logger might be difficult,necklace,It's perfect
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,I can't think of any situations
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,It's a wrist watch
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,It's on my troat kinda?
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,eyes
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,head
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,around the neck?
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,neck
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,Maybe as a headband? Although i would only wear it during exercisin. An earpiece could also be interesting
Do you have any other comments on this survey?,general,Not really
In what situations or activities do you think wearing the light logger might be difficult,wrist,showering
In what situations or activities do you think wearing the light logger might be difficult,collarpin,in social settings because it would be visible to everyone
In what situations or activities do you think wearing the light logger might be difficult,glasses,showering or running
In what situations or activities do you think wearing the light logger might be difficult,hatpin,it is ugly
In what situations or activities do you think wearing the light logger might be difficult,neckloop,showering
In what situations or activities do you think wearing the light logger might be difficult,chestpin,showering
In what situations or activities do you think wearing the light logger might be difficult,necklace,showering
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,showering
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,collar
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,ear
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,forehead
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,chest
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"waterproof, and small so it is not as visible"
Do you have any other comments on this survey?,general,No comments
In what situations or activities do you think wearing the light logger might be difficult,wrist,I no situation whatsoever; it's basically a watch/fitbit.
In what situations or activities do you think wearing the light logger might be difficult,collarpin,"Exercising, changing clothes, intimate times"
In what situations or activities do you think wearing the light logger might be difficult,glasses,"As much as the previous one (mic); exercising, changing clothes, running etc.  People that dont wear glasses especially are affected."
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"Everything that doesn't require a piece of clothing that covers the head, in hot months especially."
In what situations or activities do you think wearing the light logger might be difficult,neckloop,"I don't really know how much it weighs, it could restrict movement and so hinder a lot of daily activities"
In what situations or activities do you think wearing the light logger might be difficult,chestpin,"In heavy movement situations. Running, exercising etc."
In what situations or activities do you think wearing the light logger might be difficult,necklace,"Heavy movement situations like the previous one: running, exercising, sex."
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,While taking a shower?
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,"Again, its placed on the wrist, just like a normal watch/fitbit."
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,"It looks like it's placed on a shirt's neck via a pin, just like you would place a portable microphone"
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,"It's place on a pair of glasses' rod (or the glasses are the tracker itself, not sure)."
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,"It's placed on a beanie/hat, so head area"
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,It looks like its placed around the neck over a t-shirt.
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,"It's place like a pin on a shirt, near the pectoral area"
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,It's basically a necklace
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,It's basically an armband
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"Maybe something to put on shoelaces, if the logger isn't too heavy."
Do you have any other comments on this survey?,general,"Honestly I think the watch design it's the peak design for me. It's an accessory basically, it can be worn throughout the day without feeling encumbered or wearing something 'out of place'"
In what situations or activities do you think wearing the light logger might be difficult,wrist,I would not wear light Logger playing soccer
In what situations or activities do you think wearing the light logger might be difficult,collarpin,I would not be able to wear it at the beach
In what situations or activities do you think wearing the light logger might be difficult,glasses,It would be difficult to wear them during the night.
In what situations or activities do you think wearing the light logger might be difficult,hatpin,It will be difficult to run with it.
In what situations or activities do you think wearing the light logger might be difficult,neckloop,It would be difficult to run with it
In what situations or activities do you think wearing the light logger might be difficult,chestpin,It would be difficult to wear it if my uniform does not allow it.
In what situations or activities do you think wearing the light logger might be difficult,necklace,It would be difficult to wear it while running.
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,It would be difficult to wear it while running.
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,I am most likely to wear it on my wrist.
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,I would try neck piece
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,I would try to wear it as a hat
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,I can try musk
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,I would put it on hand
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,I would put it on my back.
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,I would put it on my wrist.
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,I would put it on my wrist.
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,I think wearing it on my neck is the best option.
Do you have any other comments on this survey?,general,No.
In what situations or activities do you think wearing the light logger might be difficult,wrist,When I sleep or having a shower
In what situations or activities do you think wearing the light logger might be difficult,collarpin,When I eat
In what situations or activities do you think wearing the light logger might be difficult,glasses,When I change position or I move quickly
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"Maybe when the weather is hotter, it could be uncomfortable to use a hat"
In what situations or activities do you think wearing the light logger might be difficult,neckloop,It looks very uncomfortable
In what situations or activities do you think wearing the light logger might be difficult,chestpin,None
In what situations or activities do you think wearing the light logger might be difficult,necklace,When someone does physical activity
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,When I sleep
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,It's something similar to a wristwatch
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,It's something like a broochfor the neck
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,It's similar to a pair of glasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,It's like an hat
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,crew neck like a scarf
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,It's like a brooch
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,It's like a necklace
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,It's like a pressure meter
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,Maybe it could be like a ring or a bracelet (more then a watch) to be lighter and comfortable
Do you have any other comments on this survey?,general,None
In what situations or activities do you think wearing the light logger might be difficult,wrist,"SWIMMING, IF IT ISN'T WATERPROOF"
In what situations or activities do you think wearing the light logger might be difficult,collarpin,LOOKS LIKE IT IS IN A POSITION THAT WOULD CAUSE ANNOYANCE
In what situations or activities do you think wearing the light logger might be difficult,glasses,I HARDLY WEAR MY SPECTACLES SO I PROBABLY WOULD NOT WEAR THIS
In what situations or activities do you think wearing the light logger might be difficult,hatpin,THIS REQUIRES HEAD GEAR AT ALL TIMES. I DO NOT LIKE HEAD GEAR.
In what situations or activities do you think wearing the light logger might be difficult,neckloop,I THINK IT'S PRONE TO SLIDING OFF
In what situations or activities do you think wearing the light logger might be difficult,chestpin,IF IT'S HEAVY AND FALLS OFF BECAUSE IT WON'T STAY ON
In what situations or activities do you think wearing the light logger might be difficult,necklace,LOOKS A LITTLE BULKY FOR A FEMININE LOOK
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,ANYTHING OUT OF EXERCISE
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,ON THE WRIST LIKE A WATCH
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,ON THE NECK OF A SHIRT LIKE A MIC
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,ON THE FACE AS EYEWEAR
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,ON THE HEAD LIKE AN ACCESORY
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,LIKE A SCARF
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,ON MY CLOTHES LIKE A BROCHE
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,AROUND THE NECK
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,AROUND THE ARM LIKE A PHONE HOLDER
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,NO
Do you have any other comments on this survey?,general,NO
In what situations or activities do you think wearing the light logger might be difficult,wrist,When swimming and when handwashing clothes and dishes.
In what situations or activities do you think wearing the light logger might be difficult,collarpin,"Exercising, Jogging and sleeping."
In what situations or activities do you think wearing the light logger might be difficult,glasses,When exercising.
In what situations or activities do you think wearing the light logger might be difficult,hatpin,I cannot think of any activities.
In what situations or activities do you think wearing the light logger might be difficult,neckloop,Exercise.
In what situations or activities do you think wearing the light logger might be difficult,chestpin,When it is raining and during sleep.
In what situations or activities do you think wearing the light logger might be difficult,necklace,Exercise
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,Swimming and sleep
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,The light logger is placed on the wrist of the left or right arm like a wrist watch.
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,It is placed on the cloth just near to the collar bone like a small mic.
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,It is places on the side of eye glasses.
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,The sensor is placed on the side of a worn hat just outside the hat.
